Name;Age;Food Supply (Days);Water per Day (Liters);First Aid Kits;Antibiotics;Painkillers;Weapons Available;Defensive Structures;Training Level;Radios Available;Access to Reliable Information;Support Groups Available;Entertainment Available
Michael;18;13;4.4;0;13;13;83;7;3;2;No ;No ;Books
Sophia ;18;13;1.8;3;15;22;65;3;0;20;No ;No ;Books
John   ;18;4;1.3;4;5;30;88;10;3;3;No ;Yes;Books
James  ;18;29;4.2;2;9;14;60;3;5;5;No ;No ;Games
James  ;18;7;3.5;6;17;16;53;5;0;17;No ;No ;Books
James  ;18;9;4;2;7;47;95;3;2;5;Yes;No ;Books
John   ;18;24;3;5;4;5;74;9;2;8;No ;No ;Games
Michael;18;28;1.6;4;12;23;49;2;2;12;Yes;No ;Books
Emma   ;18;1;3.4;9;15;6;43;10;4;8;No ;Yes;Games
Michael;18;22;3.7;5;10;27;12;8;0;18;Yes;No ;Games
Olivia ;18;2;4.9;9;8;22;77;8;0;1;Yes;Yes;Games
James  ;18;28;3.7;9;14;29;89;10;4;0;No ;Yes;Books
Michael;18;3;3.5;6;9;41;37;9;2;12;Yes;Yes;Games
Sophia ;18;5;2.8;10;8;21;46;5;4;18;No ;Yes;Books
William;18;28;4.7;0;14;10;39;9;4;1;No ;Yes;Books
James  ;18;26;2.9;8;17;22;69;9;5;13;No ;No ;Games
William;18;6;2;10;14;16;77;4;0;12;Yes;Yes;Books
James  ;18;11;3.7;7;16;4;74;4;3;6;No ;Yes;Books
Olivia ;18;27;2;5;19;42;48;1;4;14;Yes;No ;Books
Sophia ;18;9;1.9;5;12;17;78;7;2;14;Yes;Yes;Games
William;18;19;3.5;10;11;39;75;4;3;20;No ;No ;Games
Jane   ;18;4;3.5;0;14;15;49;10;0;18;Yes;Yes;Books
James  ;18;2;2.7;2;18;50;79;6;4;19;No ;Yes;Games
Emma   ;18;30;2.2;3;1;13;7;5;1;10;No ;No ;Games
James  ;18;30;4.8;9;9;23;55;3;2;1;Yes;No ;Books
William;19;11;3.4;2;10;44;66;5;1;19;No ;No ;Books
William;19;5;4.2;1;14;18;56;6;0;15;Yes;No ;Games
Olivia ;19;26;4.9;10;3;47;62;10;2;2;No ;Yes;Games
John   ;19;5;1.5;5;6;50;23;10;0;11;No ;No ;Games
William;19;2;2.9;6;8;8;3;4;3;16;No ;No ;Books
John   ;19;10;2.6;10;2;2;79;5;4;7;Yes;No ;Games
James  ;19;23;2.9;2;5;40;0;10;1;13;Yes;Yes;Games
Olivia ;19;2;4.2;9;18;22;69;3;4;6;Yes;No ;Games
Michael;19;5;3.1;1;7;3;93;9;5;14;Yes;No ;Books
William;19;12;4.4;8;20;35;98;6;2;19;Yes;Yes;Games
John   ;19;27;3.6;2;1;15;23;0;0;0;No ;No ;Books
William;19;23;2.5;5;13;42;61;4;5;2;No ;Yes;Books
Michael;19;30;3.1;8;15;37;35;4;4;12;Yes;Yes;Games
Sophia ;19;2;2.2;2;18;24;19;2;0;18;Yes;No ;Games
Michael;19;12;4.7;5;5;13;55;9;4;0;No ;No ;Games
William;19;5;4.7;1;14;23;82;9;0;20;Yes;No ;Books
James  ;19;22;3.7;3;16;9;23;5;3;15;No ;Yes;Books
Emma   ;19;9;1.5;2;7;37;10;9;1;0;Yes;No ;Books
Michael;20;2;4.4;0;15;31;40;4;2;3;No ;Yes;Games
James  ;20;1;3.6;9;15;10;96;4;4;4;No ;No ;Books
James  ;20;2;1.1;5;19;37;13;6;3;19;No ;No ;Games
William;20;21;1.2;4;6;47;73;9;4;5;No ;No ;Games
Jane   ;20;21;2.7;4;11;6;15;3;4;2;No ;No ;Books
William;20;1;3.3;1;4;10;96;1;5;19;Yes;Yes;Games
John   ;20;4;1.5;4;18;10;55;1;1;8;No ;No ;Books
John   ;20;24;4.3;10;4;35;32;4;0;9;No ;Yes;Games
Emma   ;20;29;1.3;2;18;24;81;10;0;14;No ;Yes;Books
William;20;23;1.7;8;8;40;4;6;4;4;No ;Yes;Games
James  ;20;5;3.8;1;1;9;23;4;1;20;No ;No ;Books
Olivia ;20;15;4.1;9;6;13;58;9;1;6;Yes;No ;Books
Michael;20;19;3.3;0;7;26;34;10;5;16;Yes;No ;Books
Jane   ;20;22;2.4;10;16;36;28;3;2;1;No ;No ;Books
James  ;20;3;3.7;6;10;35;62;7;2;15;No ;Yes;Books
Emma   ;20;22;3.4;0;2;44;34;0;0;16;No ;No ;Games
Sophia ;20;23;1.7;7;20;1;37;8;2;8;Yes;No ;Games
James  ;20;12;4;4;17;50;52;5;3;19;No ;No ;Books
Sophia ;21;11;4.5;5;1;35;79;6;2;15;Yes;Yes;Games
William;21;1;4;10;7;39;84;4;0;19;No ;Yes;Games
Jane   ;21;20;2.7;1;9;19;89;6;4;3;Yes;No ;Games
John   ;21;13;3.1;9;4;30;15;6;3;3;No ;Yes;Games
James  ;21;29;3.6;9;19;19;30;0;1;5;No ;Yes;Books
Michael;21;10;4.5;0;15;1;80;2;1;11;No ;No ;Games
James  ;21;4;1.7;7;17;3;35;8;0;4;No ;No ;Games
Sophia ;21;8;3.8;4;20;14;81;1;1;17;Yes;No ;Games
Jane   ;21;30;2.7;3;12;36;79;0;2;15;Yes;Yes;Books
John   ;21;24;3;4;16;28;62;8;5;11;No ;Yes;Books
Michael;21;20;2.9;7;7;23;26;3;5;13;No ;Yes;Games
Michael;21;10;1.8;4;13;48;52;5;2;3;No ;Yes;Games
William;21;0;3.2;5;3;15;25;1;2;2;No ;Yes;Books
Jane   ;21;14;3.3;9;16;39;99;7;4;20;Yes;Yes;Games
Sophia ;21;4;3.9;10;2;4;15;9;1;9;No ;Yes;Books
James  ;21;26;3.5;1;5;21;51;6;5;20;Yes;Yes;Games
Sophia ;21;2;1.5;8;2;3;82;9;0;9;No ;Yes;Games
William;21;25;3.2;8;12;2;31;6;0;15;No ;Yes;Games
John   ;21;28;1;6;13;16;0;5;2;5;No ;No ;Books
William;21;1;1.9;4;1;29;55;2;1;18;No ;No ;Books
Emma   ;21;27;2.9;5;17;29;66;10;4;16;Yes;No ;Books
Emma   ;21;1;2;10;19;25;11;2;2;1;No ;No ;Games
Sophia ;21;3;3.6;10;5;32;31;3;2;18;Yes;Yes;Games
William;21;7;4;2;12;50;56;4;5;9;No ;Yes;Books
James  ;21;21;1.3;7;17;19;43;4;4;6;No ;Yes;Books
John   ;21;4;4.3;1;19;41;65;3;4;3;Yes;Yes;Games
John   ;21;23;1.5;7;13;11;55;6;3;8;No ;Yes;Books
Emma   ;21;5;1.4;2;17;17;23;7;2;16;Yes;No ;Games
William;21;1;4.6;0;10;40;47;7;5;1;Yes;Yes;Books
Emma   ;21;18;4.6;0;14;7;91;7;2;11;Yes;No ;Books
John   ;21;1;1.7;5;3;36;79;10;0;3;No ;Yes;Games
Olivia ;21;10;3.2;10;1;3;10;9;0;1;No ;Yes;Books
Jane   ;22;26;2.5;3;3;1;16;1;1;18;Yes;No ;Games
Michael;22;15;2;3;2;14;88;2;0;2;No ;Yes;Books
Olivia ;22;19;2.6;3;18;42;82;3;1;1;Yes;Yes;Books
Michael;22;4;1.4;8;5;48;54;10;3;0;Yes;No ;Books
Sophia ;22;3;3.6;10;5;6;12;4;0;18;No ;No ;Books
Michael;22;18;2.8;1;13;11;55;10;2;2;Yes;No ;Books
John   ;22;17;2.3;10;19;43;43;10;3;8;Yes;No ;Games
James  ;22;4;4.4;5;0;41;79;5;1;11;No ;No ;Books
Michael;22;20;2.8;10;11;44;24;5;1;2;No ;Yes;Games
Olivia ;22;7;2.9;4;11;35;36;7;2;4;Yes;Yes;Games
John   ;22;7;3.9;0;2;38;83;5;5;13;Yes;No ;Books
Jane   ;22;0;2.8;7;20;37;58;4;0;20;Yes;No ;Games
Olivia ;22;1;2.2;5;6;26;36;9;5;3;No ;Yes;Books
Sophia ;22;19;2.3;8;1;8;69;6;3;14;Yes;Yes;Books
Jane   ;22;27;3.9;10;0;15;33;5;0;1;No ;No ;Books
William;22;29;4.7;1;11;40;37;10;5;15;Yes;Yes;Games
Sophia ;22;29;2;5;20;25;50;4;4;9;No ;No ;Games
Sophia ;22;0;2.7;9;4;19;95;4;5;17;No ;Yes;Games
Emma   ;22;30;3.2;0;10;38;25;1;0;17;No ;Yes;Games
John   ;22;27;4.2;8;19;45;4;8;0;12;No ;No ;Games
Jane   ;22;27;1.1;6;14;25;80;9;4;14;No ;No ;Games
Emma   ;22;5;3.8;5;7;42;36;7;2;17;No ;No ;Games
Jane   ;22;30;3.7;8;7;18;12;5;0;15;No ;No ;Books
William;22;28;1.1;8;15;24;66;9;0;9;Yes;Yes;Games
Jane   ;22;0;2.6;5;4;40;38;3;4;20;Yes;No ;Books
Jane   ;22;13;3;6;1;5;21;10;1;6;No ;Yes;Books
John   ;23;11;1.3;4;7;11;68;9;0;12;No ;Yes;Games
James  ;23;22;4.9;9;7;33;42;9;5;2;Yes;Yes;Games
Jane   ;23;19;4.4;4;12;33;15;6;5;10;Yes;Yes;Games
